scan,side,cam,frozen_temp,temp_glitches,stale_start_frames,T_start,T_end,tau_T_s,T_inf,rmse_T,tau2_fast_s,tau2_slow_s,rmse_T2,mean_light,mean_dark,tau_mean_s,mean0,mean_inf,tau_std_s,flicker_rms,flicker_pct
6,right,3,False,0,12,30.19921875,92.99609375,109.44762300597358,90.66464592718938,2.2941681433537777,27.142071727047888,316.67660669464817,0.2653188376857131,131.0738683675863,131.07185959259257,165.3326175474774,130.9194007782307,131.098446496244,531.2857829031378,0.018446053997442837,0.014073021745045577
7,left,0,False,0,16,32.796875,65.93359375,264.24754257796224,65.19867409659795,1.2751818110694044,13.919172949902341,465.20427861516106,0.1922078025810479,754.3741464620796,754.2154624691358,133.78702488196467,745.8098895563553,755.4409596493435,112.35361395332302,0.5554476919701743,0.07363026617165429
7,left,1,False,0,4,33.17578125,78.3671875,183.80076921742955,76.62869146225358,1.9352637696824102,19.448671813922548,469.47214992353634,0.27866318611135044,288.1810349061482,288.13881719753084,148.50175632378304,285.48482635503416,288.5601238582477,142.18893484770544,0.14389695266863825,0.04993283222662487
7,left,2,False,0,8,32.6015625,91.48828125,151.10751063982877,89.17886437745469,2.4409574393355205,23.760001823141536,410.4779560016246,0.21942929364616368,148.39808200160698,148.3918682839506,166.8181867585061,147.7690241143509,148.49940154050228,671.2136766070453,0.028037448727986417,0.018893403708332836
7,left,3,False,0,12,32.3984375,95.2890625,148.95079334570835,92.63751678421741,2.5148393264094975,25.37949617194652,383.8219800528376,0.28693197990927677,130.48356276122797,130.48092683950617,260.1204771543306,130.35932573597762,130.51774880262906,811.6369282494172,0.01914955530786892,0.014675837249256226
7,right,0,True,0,48006,72.34375,72.34375,,,,,,,999.2919684191711,999.2644717283949,103.07566880119948,996.8133336689331,999.5255765910056,102.59426040894841,0.0886532433412254,0.008871605711138689
7,right,1,True,0,48006,80.4765625,80.4765625,,,,,,,409.25237457241843,409.17805293827155,137.87550025946456,401.7622045459547,410.2252859602157,127.06805594018718,0.19594247709068943,0.04787815276463761
7,right,2,True,0,48006,86.8203125,86.8203125,,,,,,,161.0133580375449,161.00048497530864,150.6584736179035,159.94223285783738,161.16721333896564,226.64458428481095,0.03050529636736927,0.018945817129195013
7,right,3,True,0,48006,93.1484375,93.1484375,,,,,,,131.05985508859254,131.0590721604938,214.84765143450625,130.90782778095428,131.0928290928805,534.3117601092599,0.018529189236958725,0.014137959502880227
8,left,0,False,0,16,36.96875,67.0703125,211.8554388322466,66.13466546846348,1.2493009583382975,13.919172949902341,438.9851574943069,0.16598246972043001,750.4008785982596,750.3998204814816,206.07302550738973,742.765286515013,751.9699414873127,198.1215868021098,0.5560947372318685,0.07410635476209027
8,left,1,False,0,4,37.6484375,79.58203125,133.50469597257296,77.89484570634352,1.8415630149817253,19.448671813922548,438.9851574943069,0.22320207588543892,287.30737967663384,287.302048308642,193.50833120596113,284.9309236978008,287.7602056873411,202.16461264681632,0.14324723526196587,0.04985852971239078
8,left,2,False,0,8,37.5703125,92.76953125,105.18518401357426,90.63471627934891,2.1173107562732016,25.37949617194652,338.6694170345721,0.25773669915055925,148.32592589072283,148.3208873580247,173.23418336076622,147.7338713600049,148.42539427530448,468.42774889919497,0.027395996505018377,0.018470133485094183
8,left,3,False,0,12,37.90234375,96.72265625,107.11081758257855,94.2366991097121,2.243111405682059,27.142071727047888,362.1896016624053,0.3375483192822048,130.48363263515148,130.48377219753087,273.1887769898153,130.35440379229007,130.5210573957565,490.789111574329,0.0193435423424223,0.014824497104942854
8,right,0,True,0,48014,72.34375,72.34375,,,,,,,998.4898683312954,998.4798117160494,132.591060429768,996.0991453986477,998.7874316929393,134.15659822236177,0.0907990937691887,0.009093641973647136
8,right,1,True,0,48014,80.4765625,80.4765625,,,,,,,407.5122858716718,407.48646237037036,163.60472383080975,400.7592598871074,408.57822446087545,156.74431472163883,0.19355798996537052,0.04749746122410728
8,right,2,True,0,48014,86.8203125,86.8203125,,,,,,,160.82565295446958,160.81982980246914,180.48938026987435,159.84458733748258,160.99909194051816,238.07454661687848,0.03042752665456978,0.01891957290121119
8,right,3,True,0,48014,93.1484375,93.1484375,,,,,,,131.06439031662632,131.06678956790122,174.88987783454382,130.9130350382625,131.09054249840327,394.375730057886,0.018385172094280786,0.014027587546751449
9,left,0,False,0,8,33.328125,66.234375,252.36851996107737,65.47813923140616,1.2784956102062353,14.885842809008707,465.20427861516106,0.1910598112403246,751.9093068357573,751.8598798518518,177.95970421388364,742.6874268266695,753.5026800210914,163.429376171268,0.5577566726998097,0.0741787164527866
9,left,1,False,0,12,33.78125,78.82421875,173.2803177060905,77.00638939675997,1.9319335983328723,20.774303618535182,465.20427861516106,0.27286283182928245,287.67106207176096,287.650680691358,181.31722750676312,284.83950982967065,288.1718663087293,182.34050296654306,0.14438780284043776,0.05019198031271547
9,left,2,False,0,16,33.95703125,92.08984375,141.93436890287452,89.63813830360694,2.3972535958806853,25.37949617194652,410.4779560016246,0.2416613183865205,148.35520758379064,148.35044214814818,184.0708443791041,147.7061601770692,148.47242067710383,642.8537954855768,0.0278653473521453,0.018782857579439552
9,left,3,False,0,4,34.1328125,95.890625,140.48125457551026,93.13661759785174,2.4800838265223333,27.142071727047888,410.4779560016246,0.31778770859976235,130.4796972620245,130.47885217283948,301.41907347167773,130.35465585708855,130.52075402649714,746.9744524171907,0.01936784549227777,0.014843570224863396
9,right,0,True,0,48013,72.34375,72.34375,,,,,,,998.7444477434843,998.7212571604939,128.80808259479173,995.9855369943909,999.0766652624488,133.55861599626343,0.08991812822188995,0.009003116705684492
9,right,1,True,0,48013,80.4765625,80.4765625,,,,,,,407.79353136395883,407.7346999876544,167.0349283853952,400.2124038424585,409.01871772355054,159.0810393516264,0.19355088724473984,0.047462961611324385
9,right,2,True,0,48013,86.8203125,86.8203125,,,,,,,160.86674781864656,160.85688043209873,181.5873026684377,159.83495949684465,161.05040612176768,266.31428846078484,0.03052966720414272,0.018978233611436218
9,right,3,True,0,48013,93.1484375,93.1484375,,,,,,,131.04959892926155,131.04740450617285,216.84696919494456,130.88556993374456,131.08555851975743,491.4300486908365,0.018268747315308927,0.013940330580614826
10,left,0,False,0,8,32.796875,66.0078125,260.39102819626726,65.25826752949872,1.272456200833052,13.919172949902341,465.20427861516106,0.2011392358290964,752.8903783922586,752.7092831111111,159.78242998979346,744.0917012555852,754.2344918247111,140.32392416922656,0.5586631662681047,0.07420245792768508
10,left,1,False,0,12,33.1015625,78.4453125,180.1270364175512,76.71273384895105,1.9228042927532512,19.448671813922548,438.9851574943069,0.28015408181347806,287.9560356461763,287.9086034938272,167.16888207758961,285.1753065236232,288.40408644682867,164.130766809435,0.14401340829928383,0.050012290235943925
10,left,2,False,0,16,33.50390625,91.48828125,148.3444259174993,89.29860299663716,2.4164699388121913,25.37949617194652,410.4779560016246,0.22332433739339005,148.38864361934273,148.37885867901235,169.7735005356442,147.74337544393634,148.49480053009611,645.8946659159624,0.028075890699862244,0.01892051171509091
10,left,3,False,0,4,33.453125,95.2890625,145.61848186598047,92.7587055892535,2.4931770452710746,25.37949617194652,383.8219800528376,0.31015341088601567,130.47399835808034,130.47437819753085,367.69144940865806,130.36528188572123,130.51972838764775,777.6419283977896,0.01895667783207132,0.014529084775991553
10,right,0,True,0,48015,72.34375,72.34375,,,,,,,998.9311142419195,998.8918327037037,124.25263367170632,996.4003023258263,999.2234968727838,125.67700700960421,0.08961661855287713,0.008971251097818335
10,right,1,True,0,48015,80.4765625,80.4765625,,,,,,,408.0924767774648,407.9977336790123,155.5424639835964,400.48918893536813,409.2249394113133,144.9520195700349,0.19567831457884793,0.047949503045005275
10,right,2,True,0,48015,86.8203125,86.8203125,,,,,,,160.89910671745434,160.8871714197531,162.36147912542,159.7931646258393,161.0720017168017,240.4305602642132,0.030634950355333812,0.019039851109385015
10,right,3,True,0,48015,93.1484375,93.1484375,,,,,,,131.05408118276472,131.0541191851852,205.93841252325657,130.8745408315911,131.09091052320719,509.25318004404244,0.01866618775872321,0.01424311825336581
